id	area	spec_section	interpretation	current_gap	implementation	acceptance
A06	ST,CG,EV	3	Task의 id/title/objective/status/parent/children/dependencies/artifacts/assumptions/decisions/evidence/risk/confidence/version 전부가 실행 가능한 지식 상태다.	현재 Task와 PlanTaskSpec의 문자열 중심 데이터에는 가정·증거·예측 위험의 정규화 참조가 부족하다.	TaskSpecVersion·TaskRuntime으로 분리하고 모든 필드를 정규화 참조와 버전으로 연결한다. 원문 상태를 기존 상태와 명시 대응한다.	T05,T10: 직렬화·조회 roundtrip에 모든 필드 의미가 남고 verified를 전체 완료로 오인하지 않는다.
A07	AP	3	역할은 능력·책임이고 agent는 실행 인스턴스다. 같은 역할의 복수 인스턴스와 새 전문 역할을 허용한다.	Role metadata와 task worker binding은 있지만 역할의 실행 lifecycle이 없다.	RoleVersion과 AgentRun을 분리하고 roleId가 아니라 runId로 자원·비용·상태를 관리한다. 전문 역할은 검증된 capability 부족에서 제안한다.	T02,T12: 동일 역할 두 run은 독립 상태이며 새 역할 등록만으로 실행하지 않는다.
A08	AP,CM,EV	3	Role의 purpose/capabilities/activationPolicy/requiredContext/outputSchema/validators는 prompt와 동등한 필수 구성이다.	defineRole은 mutable metadata upsert이며 이 계약들을 강제하지 않는다.	immutable RoleVersion과 참조 스키마를 만들고 start·context·result admission 각각에서 정책·selector·schema·validator를 확인한다.	T02,T04: 필수 필드나 validator가 없는 role은 grant 발급이 거절된다.
A09	AP,CP	3	dormant→candidate→active→dormant와 waiting/completed의 lifecycle을 표현한다.	task 상태는 있으나 역할별 휴면·대기 상태가 독립적으로 영속화되지 않는다.	AgentRun terminal completed는 보존하고 role availability는 dormant로 복귀한다. waiting은 증거/자원 event에서만 깨어난다.	T02: 실행 완료·실패·대기·재시작 뒤 상태 전이가 중복 세션을 만들지 않는다.
A10	CG,EV	4	File changed event를 public API/type/shared dependency/test coverage/fanout 등 여러 signal로 변환한다. SignalSet의 10필드를 모두 사용한다.	InputSignal은 generation과 cause 중심이며 semantic feature extractor가 없다.	AST/타입/테스트/graph extractor와 unknown 상태를 추가한다. changed files/symbols/interfaces와 모든 위험·외부지식·semantic 필드를 근거로 저장한다.	T05,T07: 같은 파일 수라도 API 변경·단순 편집에 다른 signal이 나오고 판정 불가는 unknown이다.
A11	AP	8	R/U/D/F/I의 가중 점수와 역할별 threshold로 soft activation을 결정한다.	TaskScheduler는 충돌·capacity만 확인한다.	정규화 feature vector와 immutable weights/threshold로 ActivationDecision을 생성한다. scheduler는 그 결정 이후 예약한다.	T02: 동일 snapshot/policy의 score·판정이 재시작 전후 같고 경계값을 검사한다.
A12	AP	8	hardTriggers/softSignals/threshold/cooldown/maxInvocations를 모두 적용한다. QA/Architect/Research의 hard/soft 사례도 각각 다르다.	이 역할별 정책과 중복 억제·필수 의무 충돌 규칙이 없다.	세 역할의 초기 규칙을 evidence 기반으로 정의하고 quota/cooldown 충돌은 defer/escalation으로 처리한다. hard trigger를 비용 때문에 skip하지 않는다.	T02: test failure·invariant violation·external fact 세 hard trigger와 각각의 soft 조합을 검사한다.
A13	CP,EV	10	AST/type/schema/unit/integration/dependency/policy/constraint를 먼저 검사하고 남은 불확실성만 LLM에 보낸다.	테스트와 integration 결과 입력은 있으나 실행 전 필수 preflight 선택 경로가 없다.	validator registry와 versioned receipt를 구현하고 증거가 해결한 질문을 activation 후보에서 제거한다.	T03: 모든 필수 검사 통과·잔여 질문 없음이면 모델 0회, 실패 receipt는 해당 역할만 깨운다.
A14	AP,EX	8	L0–L5와 R/U/I/change magnitude 기반 수준 선택을 구현한다. 0.2/0.4/0.65/0.85는 학습할 예시 threshold다.	전역 model/maxRuns가 실제 추론 수준별 계약을 제공하지 않는다.	ReasoningProfile/capability/실측 budget을 연결하고 L5는 독립 다중 adversarial review로 정의한다. 임계값은 정책 버전으로 calibration한다.	T03,T14: 실제 실행 profile을 확인하고 지원하지 않는 수준을 구현됐다고 표시하지 않는다.
A15	CM	9	context는 target/relevant dependency/knowledge/evidence의 합집합이다.	context builder가 whole ancestor/dependency 내용을 폭넓게 선택할 수 있다.	role scope에 필요한 포트·지식·증거를 선택하고 provenance와 제외 이유를 manifest에 남긴다.	T04: 입력마다 T/D/K/E 분류와 관계 근거가 있고 비관련 subtree는 제외된다.
A16	CM	9	target 시작→필수 dependency→참조 decision→충돌 assumption→검증 evidence→budget 중단의 순서를 구현한다.	관계 탐색은 있으나 충돌 가정·예산 중단이 구조화돼 있지 않다.	selector 순서·relevance ranking·필수 item 우선 규칙을 명시하고 budget 부족 시 검증 요약 또는 대기한다.	T04: 충돌 가정이 일반 history보다 먼저 포함되며 필수 item을 절단하지 않는다.
A17	CM,EX	9	maxTokens/maxDependencyDepth/maxEvidenceItems/maxHistoricalDecisions 네 예산과 summary hierarchy가 모두 필요하다.	ContextPolicy에는 실측 token·깊이·증거·결정 개수 cap이 없다.	직렬화 전체 비용을 예약하고 각 cap을 별도 강제한다. raw→local→task→subtree→project 요약을 검증된 lineage로 제공한다.	T04: 네 cap 각각 초과 시 동작과 필수 정보 초과시 grant 보류를 검증한다.
A18	CM	9	Raw/Artifact/Task/Subtree/Project 다섯 해상도와 필요시 하위 원본 확장을 지원한다.	task summary와 artifact는 있지만 계층 요약의 버전 유효성·확장 계약이 없다.	memory level별 dependency vector와 생략 범위를 저장하고 expandContext도 동일 허가·budget 검사를 거친다.	T04: 상위 요약에서 원본으로 확장해도 추적성과 예산이 유지된다.
A19	EV	10	개별 Correct(A1),Correct(A2)는 합성 Correct를 보장하지 않는다.	integration engine은 있으나 모든 공유 변경에서 의무가 자동 발생하지 않는다.	독립 local pass와 joint integration pass를 별도 obligation으로 만들고 부모 완료에서 둘을 구분한다.	T10: local tests 모두 pass지만 contract mismatch로 부모 완료가 차단된다.
A20	EV,CG	10	Task Graph 외 artifact/output 간 Integration Graph를 유지하고 관련 edge만 활성화한다.	IntegrationSet은 존재하지만 전체 boundary 소비 관계와 자동 연결이 부족하다.	versioned output node·contract 소비 edge·scenario binding을 인덱싱하여 Auth API 변경의 Frontend/Mobile/Gateway/Audit 소비 조합을 선택한다.	T10: 변경 포트를 소비하지 않는 integration edge는 깨우지 않는다.
A21	EV,CG	10	같은 boundary에 둘 이상 task output이 영향을 주면 IntegrationRequired를 만든다.	수동 integration proposal만으로 이 조건을 항상 보장하지 못한다.	boundary별 변경 task 집합을 episode 내 집계하고 exact output tuple을 키로 의무를 멱등 생성한다.	T09,T10: 2개·3개 변경의 중복 event는 같은 tuple에 의무 1개만 만든다.
A22	EV,AP	10	통합 역할은 merge 외 행동/인터페이스/데이터/시간/오류/자원/의미 7종 호환성을 판단하고 conflict/risk/rework를 낸다.	현재 scenario/run 구조만으로 모든 dimension과 structured IntegrationResult를 강제하지 않는다.	각 dimension을 validator/role obligation으로 표현하고 compatible/conflicts/emergentRisks/requiredRework를 schema화한다.	T10: 일곱 dimension의 실패 fixture가 각각 원인 evidence와 repair proposal을 만든다.
A23	EV,ST	3	Evidence 7종과 source/confidence/timestamp/contentHash, Decision conclusion/evidence/confidence/assumptions 전부를 저장한다.	artifact/learning/verification 기록이 통일된 versioned evidence와 decision을 구성하지 않는다.	EvidenceVersion·DecisionVersion·AssumptionVersion을 만들고 실제 input/producer/validator provenance와 만료를 연결한다.	T04,T10: stale/조작 hash/출처 없는 test claim은 검증 완료 근거로 채택되지 않는다.
A24	EV	10	중요 의존성의 낮은 confidence를 평균으로 숨기지 않는다. min 또는 weighted product를 명시적으로 선택한다.	일관된 evidence 기반 parent confidence 집계가 없다.	min을 기본으로 두고 product는 weight·상관 가정·calibration을 기록한 별도 score로 사용한다.	T10: 자식 하나의 낮은 confidence가 다수 높은 값으로 소거되지 않는다.
A25	EV	10	독립 위험에서 누적 risk는 1-product(1-Ri)이다.	위험 독립성·집계 모델을 구분하는 데이터가 없다.	독립성 근거를 가진 경우만 확률식을 쓰고 미확인 상관은 보수 신호와 joint validation으로 다룬다.	T10: 독립/동일 원인 중복 위험 fixture에서 확률 오표현·중복 누적을 막는다.
A26	AP,EV	8	Critic은 약한 증거의 높은 확신·높은 위험·구조 변경·비가역 결정·반복 실패에서 숨은 가정/반례 등을 찾는다.	Critic의 선택적 activation과 counterexample output 계약이 없다.	다섯 trigger와 hidden assumption/missing evidence/counterexample/integration failure/false certainty finding 분류를 등록한다.	T02,T10: 일반 작업에는 Critic run이 없고 각 trigger에는 근거 포함 검토가 생성된다.
A27	AP,EV	8	QA는 실패 가능성·미검증 영역·의미 변화·미검증 조합을 찾는 판단 역할이다.	실제 test 실행 evidence와 QA 사고의 책임이 분명히 분리되지 않는다.	deterministic test runner와 QA RoleVersion을 분리하고 coverage gap/semantic delta/combination 질문을 출력 schema에 연결한다.	T03,T10: test pass만으로 QA가 필요한 조합 위험을 완료 처리하지 않는다.
A28	PL	11	28.1의 무가치 활성화와 28.2의 나중에 드러난 missed activation 양쪽에서 배운다.	Learning note만으로 skip 당시 판단과 나중 실패의 인과 귀속을 재구성할 수 없다.	ActivationDecision·OutcomeLabel·실제 failure lineage를 연결한다. 무발견 필수 assurance를 FP로 단정하지 않고 미관측 FN을 꾸미지 않는다.	T11: 낭비·필수 QA 무발견·실제 skip 후 실패·관측 불충분 네 사례를 구분한다.
A29	PL	11	policy pi(s)→activate/skip의 보상은 useful value-cost-missed failure이며 기대 보상을 최적화한다.	activation reward ledger·quality floor가 없다.	V/C/M의 측정 정의와 정규화 단위를 저장하고 correctness/critical recall 조건을 만족하는 정책만 reward 비교한다.	T11,T13: 호출 최소화만으로 모든 역할을 skip하는 후보가 승격되지 않는다.
A30	PL	11	실패→원인→구조 패턴→일반 invariant→후보→검증→갱신의 abstraction 단계가 필수다.	학습 내용이 실제 실행 규칙으로 안전하게 일반화되는 pipeline이 없다.	DSL에서 파일명/태스크 ID 조건을 거절하고 boundary 종류·fanout·관계·가정에 기반한 설명 가능한 규칙만 제안한다.	T11: auth.ts 규칙은 거절하고 같은 authentication boundary를 다른 이름으로 옮겨도 규칙이 작동한다.
A31	PL	11	candidate→shadow→validated→active를 단계별로 유지한다.	mutable role/learning 저장은 정책 승격 상태를 제공하지 않는다.	정책 버전과 head를 분리하고 각 승격 gate에 replay·holdout·shadow evidence를 요구한다.	T11: candidate/shadow가 production routing을 바꾸지 않고 validated도 승인 gate 전엔 active가 아니다.
A32	CM	9	Task/Dependencies/Evidence/Policy input hash로 인지 결과를 재사용하고 영향 subset만 무효화한다.	task output cache와 plan effective key는 인지 record별 소비 범위보다 넓다.	인지 종류별 dependency view key와 역인덱스를 만들고 사용한 정책·증거·validator version까지 고정한다.	T04: 독립 evidence 변화는 무관한 reasoning record를 무효화하지 않는다.
A33	CM,CG	5	syntactic/semantic/interface/behavioral/architectural 분류에 따라 cache invalidation 범위가 달라진다.	실제 code hash 변화는 알지만 reasoning 종류별 의미 view가 없다.	B ChangeScope와 매핑하고 view equality 근거가 있는 인지 결과만 유지한다. text/summary hash로 행동 동등성을 단정하지 않는다.	T04,T06: 안전한 local rename은 architecture cache 유지, export/reflection rename은 검증 없이 유지하지 않는다.
A34	CM	9	ReasoningState의 assumptions/conclusions/unresolvedQuestions/evidenceIndex/dependencyVersion을 보존하고 일부만 갱신한다.	학습 note와 task summary는 이 부분 무효화 모델이 아니다.	conclusion별 소비 vector를 만들고 변경된 assumption·evidence의 영향 slice만 재검토한다.	T04: 독립 conclusion은 유지하고 영향을 받은 unresolved question만 새 grant context에 포함한다.
A35	CM,ST	9	Task/Interface/Decision/Research의 개별 version vector로 affected reasoning을 식별한다.	전역 environment/spec digest로 모든 인지 입력을 뭉치는 부분이 있다.	entity/port/view/version/hash 튜플을 표준화하고 각 consumer record에서 실제 read vector를 고정한다.	T04: 연구 R만 갱신하면 R을 읽은 인지 결과만 stale이다.
A36	CP,EX,EV	12	agent 간 authoritative communication은 structured output→graph/evidence→다음 agent이다.	OpenCode manager/native subagent 대화가 오케스트레이션 수단이다.	모든 역할 result를 schema·evidence 검증 후 저장하고 다른 역할은 승인 manifest를 통해 읽는다. 대화가 상태 mutation을 우회하지 못한다.	T02,T04: 직접 전달한 미검증 주장으로 다음 task를 완료시키지 못한다.
A37	AP,EV	12	AgentOutput의 taskId/findings/decisions/risks/questions/evidence/proposedTasks/confidence/escalation 필드를 모두 요구한다.	자유형 모델 출력과 tool별 개별 보고만으로 공통 계약을 강제하지 않는다.	role별 추가 schema 위에 공통 envelope를 두고 exact refs·scope·근거·범위를 검증한다.	T02,T10: 누락 필드·다른 task·stale evidence·범위 밖 proposal이 거절된다.
A38	AP,EV	8	불확실성이나 구조 충돌의 증거에 따라 필요한 역할·수준으로 escalation한다.	일반 재시도/역할 선택에 escalation evidence 계약이 없다.	unresolved question·검사 결과·profile 한계·요청 역할을 proposal로 받고 router가 grant를 결정한다.	T03: requiresEscalation 플래그만 있고 근거가 없으면 추가 모델 호출이 없다.
A39	PL	11	context/reasoning/validation/coordination 네 비용을 각각 줄이고 합계를 관찰한다.	총 토큰이나 worker 수만으로 이 비용을 구분할 수 없다.	ExecutionCost에 네 category와 단위·실측/추정 상태를 기록하고 local retrieval/sparse/preflight/graph communication 변경을 각각 측정한다.	T13: 테스트 비용 증가가 추론 감소 뒤에 숨지 않고 전체 합계에 반영된다.
A40	PL	11	효율 numerator는 resolved risk/useful decision/detected failure이고 denominator는 token/latency/invocation이다.	유용성 근거와 이질 단위 정규화 기준이 없다.	중복 제거된 outcome refs와 비용 변환 가중치/관측 구간을 저장한다. 원시 지표도 함께 보존한다.	T13: 동일 finding 중복 제출로 효율을 올리지 못하고 단위 변경에 score가 임의 변하지 않는다.
A41	PL	11	ThinkingDensity는 유용한 reasoning output의 비율이다.	출력 수나 learning retrieval을 유용성으로 잘못 셀 여지가 있다.	근거로 채택된 decision/finding/assurance와 전체 reasoning outputs의 집계를 분리한다.	T13: 빈 출력·중복 finding·유효 assurance가 정의대로 분류되고 분모 0은 미정이다.
A42	PL	11	activation precision과 recall을 함께 평가해야 한다.	실행한 역할과 skip한 역할의 관측 모집단을 함께 기록하지 않는다.	활성·skip episode와 확인된 필요한 activation label을 연결하고 unknown/censored는 분모에서 구분한다.	T13: 모두 호출/모두 skip 후보가 각각 precision/recall tradeoff를 드러낸다.
A43	PL	11	F-beta에서 recall 비중과 비용 패널티를 역할 위험별로 설정한다.	정책 평가에 security/formatting의 비용·누락 비대칭이 없다.	beta/lambda와 normalized cost를 versioned 평가 정책에 두고 correctness floor 아래 후보를 제외한다.	T13: security missed failure를 낮은 토큰 비용으로 상쇄해 승격하지 못한다.
A44	CP,CG,AP,EV,PL	1	요청부터 분해·그래프·의존성·신호·검사·위험·활성·실행·증거·local·child·통합·parent·final·outcome·feedback의 18단계를 닫는다.	각 엔진 일부는 있지만 실제 runtime에서 자동 연결된 전체 lifecycle이 아니다.	각 단계 전후 durable event/의무를 정의하고 생략 가능한 단계는 유효 cache/불필요 근거를 trace한다.	T15: 18단계마다 수행 또는 근거 있는 비수행 기록을 확인한다.
A45	CG,PL	11	Complexity+Parallelism+RiskIsolation-CoordinationCost가 충분할 때만 분해한다.	proposeDecomposition은 구조 검증을 하지만 분해 가치 gate가 없다.	정규화 지표·관측 비용·threshold를 정책으로 두고 독립 산출물/검증 가능성까지 확인한다.	T12: 단순 작업 과분해는 거절되고 독립 위험 격리는 비용 근거와 함께 승인된다.
A46	CG,CP	11	처음부터 전부 나누지 않고 실행 중 예상 밖 복잡성에서 split한다.	동적 child 생성은 가능하지만 예측오차·비용·scoped revision과의 연결이 없다.	complexity evidence→split proposal→region lease→기존 attempt stop/결과 보존→새 plan commit 순으로 처리한다.	T09,T12: running task 분할이 늦은 결과와 충돌하지 않고 비영향 sibling은 유지된다.
A47	AP,PL	11	반복 전문 작업+기존 역할 부족+재사용 능력의 세 조건이 새 역할을 정당화한다.	defineRole 호출 자체가 역할 생성을 허용한다.	capability gap evidence와 반복 사례·대체 역할 평가를 RoleProposal에 요구한다.	T12: 일회성 Kafka 이름만으로 persistent 전문 역할을 만들지 못한다.
A48	AP,PL	11	candidate→temporary→validated→persistent의 역할 lifecycle로 남발을 막는다.	역할은 mutable catalog 항목으로 lifecycle이 없다.	temporary에 제한 grant/평가 budget을 부여하고 중복·비용·유용성 gate를 통과해야 persistent head를 등록한다.	T12: 각 전이 조건과 미검증 역할의 영구 승격 거절을 검사한다.
A49	CP,EX	2	orchestrator의 책임은 event routing/graph mutation/policy/resource/escalation이며 중앙 AI 판단 독점이 아니다.	MANAGER_PROMPT가 실제 오케스트레이션을 OpenCode에 집중한다.	graph-runtime의 control service가 다섯 책임을 소유하고 도메인 판단만 RoleVersion grant로 실행한다.	T02,T15: manager 없이 deterministic 완료가 가능하고 manager가 임의 task를 dispatch하지 못한다.
A50	CP,EX	2	상태/그래프/이벤트/정책/스케줄/cache/version과 reasoning/research/architecture/criticism/synthesis를 분리한다.	deterministic graph와 LLM이 존재하지만 LLM이 제어 결정의 주도권을 가진다.	CP가 admission과 상태 권한을 갖고 EX는 제한된 semantic proposal/result adapter가 된다.	T02: intelligence result가 검증 없는 control state 직접 변경을 수행하지 못한다.
A51	CP,ST	3	ID/의존성 무결성/전이/version/cache/locking/status는 LLM 책임이 아니다.	엔진 검증은 있으나 전체 계획 제안 권한으로 보존 영역을 바꿀 수 있다.	서버가 ID/version을 할당하고 scoped mutation/CAS/fencing/cache proof를 강제한다.	T02,T08: 모델이 ID/version/status 또는 preserved node를 위조해 제출하면 거절한다.
A52	PL	11	분해/context/reasoning/activation/validation/integration/policy 계층을 나눠 실패를 귀속한다.	feedback은 artifact 원인 repair에 강점이 있으나 control-layer failure attribution은 없다.	실패 evidence와 실행 trace에서 복수 원인 가설·confidence를 만들고 검증된 원인만 학습 label로 사용한다.	T11: 부족한 context 사례를 reasoning failure로 자동 확정하지 않는다.
A53	PL,ST	11	아홉 FailureType을 모두 지원한다.	task failed/issue 상태만으로 불필요 활성화·stale context·bad policy를 구별하지 못한다.	OutcomeLabel의 taxonomy에 원문 9값을 유지하고 propagation 누락/과잉을 상세 원인으로 추가한다.	T11: 9종 fixture가 각각 저장·조회·후보 policy target 연결을 갖는다.
A54	PL	11	prompt 외 activation/context/decomposition/role/validation/integration/escalation/cache/precision을 전부 개선 대상으로 삼는다.	정책 proposal 저장만 추가하면 실제 target별 검증·적용이 빠질 수 있다.	아홉 target별 schema·replay evaluator·shadow 영향 계산·승격·rollback adapter를 구현한다.	T11: 모든 target에서 candidate가 검증 후만 runtime head를 바꾸며 rollback된다.
A55	PL,AP	11	meta는 batch sample 또는 중요한 실패에서만 실행한다. 20회는 예시다.	meta activation·sample readiness·batch 중복 방지 모델이 없다.	정책상 표본 조건과 critical failure event로 meta grant를 만들고 평가 구간을 pin한다.	T11,T13: 매 task마다 meta가 실행되지 않고 같은 batch의 중복 event도 실행 1회다.
A56	PL,EV	11	PolicyProposal의 target/pattern/rootCause/invariant/rule/benefit/regressionRisk를 모두 검증한다.	learning note는 실행 정책 변경 계약이 아니다.	원문 6개 target을 A54 전체와 B 학습 대상으로 확장하고 supporting evidence/counterexample/holdout/rollback 조건을 추가한다.	T11: 근거·일반 invariant 없는 proposal과 추정 benefit을 실측처럼 표기한 제안은 승격되지 않는다.
A57	PL,CP	11	persistent role/critical policy/architecture/high-impact rewrite/security exception의 승인은 설정 가능한 정책이다.	새 self-improvement 승인과 기존 사용자 권한을 연결하는 규칙이 없다.	authorization predicate를 versioned policy로 평가하고 사용자 사전 권한을 재사용한다. 제안·검증 단계는 미리 완료한다.	T11: 승인 필요·사전 승인·승인 불필요 세 정책 경로를 각각 검증한다.
A58	PL,ST	11	무기록/숨은 mutation을 금지하고 불변 버전·되돌릴 수 있는 변경·설명 가능한 학습을 요구한다.	mutable policy/role update로는 과거 실행을 재현할 수 없다.	append-only version과 auditable head 변경을 사용하고 모든 rule에 구조·근거·rollback target을 요구한다.	T11: SQL/API 경로의 head 변경도 event 없이 성공하지 못한다.
A59	PL,AP	11	모든 실행은 activation-policy/vN 같은 당시 정책 버전을 고정하고 rollback 가능해야 한다.	worker binding에는 full policy bundle version이 없다.	grant/run/skip/replan/context에 policy bundle ref를 pin하고 rollback은 새 event로 head만 전환한다.	T11,T14: 진행 run의 정책은 조용히 바뀌지 않고 새 run은 되돌린 버전을 사용한다.
A60	PL,CP	11	Event부터 Outcome까지 신호·활성/skip·context·level·evidence·decision·cost·latency를 모두 추적한다.	domain event 로그는 있지만 인지 판단과 비용의 완전한 연결은 없다.	correlation/causation으로 각 artifact를 join하고 실제 prompt manifest/profile/usage receipt까지 기록한다.	T13,T15: 실행 1건을 재구성할 때 빠진 control decision이 없어야 한다.
A61	PL,AP	8	skip 이유와 당시 risk/threshold를 남겨야 missed activation을 분석할 수 있다.	호출되지 않은 역할의 결정 이력이 없다.	ActivationDecision에 feature/score/threshold/cooldown/영향 제외 사유를 저장한다.	T11: 뒤늦은 실패에서 Architect가 왜 skip됐는지 당시 값으로 설명할 수 있다.
A62	CP,EV,PL	14	cache invalidation 사례는 static pass 이후 Architect/QA/Implementation만 활성화하고 통합 실패를 찾아 비용과 연결하는 예시다.	이 특정 task 번호나 Redis 이름을 라우팅 규칙으로 만들면 원문 의도에 어긋난다.	공유 infrastructure·통합 위험 구조의 E2E fixture로 만들고 필요한 역할·관계·실제 실패 evidence를 검증한다.	T15: 3/7은 고정 절감 약속이 아니라 fixture 관찰값이며 이름을 바꿔도 같은 구조 결과다.
A63	ST	3	Task/Knowledge/Evidence/Policy/Execution/Artifact의 논리 저장 책임을 분리한다.	현재 한 SQLite store에 데이터가 모여 있고 일부 논리 모델이 없다.	물리 DB는 유지하되 여섯 소유 영역의 repository와 versioned refs를 정의한다.	T14: 영역 간 참조 integrity와 backup/restore가 함께 검증된다.
A64	ST,CG	3	관계형 tables로 graph를 구현할 수 있으며 graph DB는 선택이다.	기존 SQLite는 적합하지만 typed edge/decision/evidence/run/policy 테이블이 부족하다.	필요 테이블·외래키·edge/consumer/obligation 인덱스를 추가하고 기존 artifact 계보와 연결한다.	T05,T14: graph DB 없이 인과 조회·무결성·재시작 재현을 만족한다.
A65	CP,ST	4	모든 의미 상태 변화는 Task/Artifact/Dependency/Validation/Integration/Agent/Policy event를 생성한다.	기존 event 저장만으로 consumer의 durable 처리·외부 dispatch를 보장하지 않는다.	state+event+outbox atomic transaction과 idempotent consumer effects를 추가한다.	T01: mutation 후 crash해도 event가 사라지거나 외부 run이 중복 채택되지 않는다.
A66	CP,ST	4	event id/type/entityId/timestamp/payload/causationId/correlationId 전부를 유지한다.	TaskGraphEvent의 refs/payload만으로 직접 원인과 episode 상관관계가 명시되지 않는다.	schemaVersion/sequence를 더한 typed envelope를 쓰고 ID는 서버가 할당한다.	T01,T13: 연쇄 실패·repair·policy event를 하나의 correlation과 정확한 causation으로 추적한다.
A67	CP,PL	11	과거 event와 새로운 정책을 재생해 판단 차이를 비교할 수 있어야 한다. full event sourcing 자체는 선택이다.	현재 상태 중심 event만으로 과거 context/input을 완전히 재구성하지 못한다.	불변 snapshot+event journal+policy/evidence refs를 보관하고 replay snapshot 일관성을 검증한다.	T13: 과거 시점에 없던 증거가 replay 입력으로 누출되지 않는다.
